trial,t_ms,flywire_id,v_mv
0,199.0,10010,-51.567
0,199.1,10001,-47.810
0,199.1,10010,-51.565
0,199.2,10001,-47.811
0,199.2,10010,-51.562
0,199.3,10001,-47.812
0,199.3,10010,-51.559
0,199.4,10001,-47.813
0,199.4,10010,-51.557
0,199.5,10001,-47.815
0,199.5,10010,-51.554
0,199.6,10001,-47.817
0,199.6,10010,-51.552
0,199.7,10001,-47.819
0,199.7,10010,-51.549
0,199.8,10001,-47.822
0,199.8,10010,-51.547
0,199.9,10001,-47.825
0,199.9,10010,-51.545
0,200.0,10001,-47.828
0,200.0,10010,-51.543
0,200.1,10001,-47.832
0,200.1,10010,-51.541
0,200.2,10001,-47.836
0,200.2,10010,-51.540
0,200.3,10001,-47.840
0,200.3,10010,-51.538
0,200.4,10001,-47.845
0,200.4,10010,-51.536
0,200.5,10001,-47.850
0,200.5,10010,-51.535
0,200.6,10001,-47.855
0,200.6,10010,-51.533
0,200.7,10001,-47.861
0,200.7,10010,-51.532
0,200.8,10001,-47.867
0,200.8,10010,-51.531
0,200.9,10001,-47.873
0,200.9,10010,-51.530
0,201.0,10001,-47.866
0,201.0,10010,-51.528
0,201.1,10001,-47.860
0,201.1,10010,-51.527
0,201.2,10001,-47.854
0,201.2,10010,-51.526
0,201.3,10001,-47.849
0,201.3,10010,-51.526
0,201.4,10001,-47.844
0,201.4,10010,-51.525
0,201.5,10001,-47.840
0,201.5,10010,-51.524
0,201.6,10001,-47.836
0,201.6,10010,-51.523
0,201.7,10001,-47.833
0,201.7,10010,-51.523
0,201.8,10001,-47.830
0,201.8,10010,-51.522
0,201.9,10001,-47.828
0,201.9,10010,-51.522
0,202.0,10001,-47.827
0,202.0,10010,-51.521
0,202.1,10001,-47.825
0,202.1,10010,-51.521
0,202.2,10001,-47.825
0,202.2,10010,-51.520
0,202.3,10001,-47.824
0,202.3,10010,-51.520
0,202.4,10001,-47.824
0,202.4,10010,-51.520
0,202.5,10001,-47.825
0,202.5,10010,-51.520
0,202.6,10001,-47.826
0,202.6,10010,-51.520
0,202.7,10001,-47.827
0,202.7,10010,-51.519
0,202.8,10001,-47.828
0,202.8,10010,-51.519
0,202.9,10001,-47.830
0,202.9,10010,-51.519
0,203.0,10001,-47.833
0,203.0,10010,-51.520
0,203.1,10001,-47.835
0,203.1,10010,-51.520
0,203.2,10001,-47.839
0,203.2,10010,-51.520
0,203.3,10001,-47.842
0,203.3,10010,-51.520
0,203.4,10001,-47.846
0,203.4,10010,-51.520
0,203.5,10001,-47.850
0,203.5,10010,-51.521
0,203.6,10001,-47.854
0,203.6,10010,-51.521
0,203.7,10001,-47.859
0,203.7,10010,-51.521
0,203.8,10001,-47.864
0,203.8,10010,-51.522
0,203.9,10001,-47.869
0,203.9,10010,-51.520
0,204.0,10001,-47.874
0,204.0,10010,-51.519
0,204.1,10001,-47.880
0,204.1,10010,-51.518
0,204.2,10001,-47.886
0,204.2,10010,-51.512
0,204.3,10001,-47.893
0,204.3,10010,-51.507
0,204.4,10001,-47.884
0,204.4,10010,-51.502
0,204.5,10001,-47.876
0,204.5,10010,-51.497
0,204.6,10001,-47.869
0,204.6,10010,-51.492
0,204.7,10001,-47.862
0,204.7,10010,-51.488
0,204.8,10001,-47.856
0,204.8,10010,-51.483
0,204.9,10001,-47.851
0,204.9,10010,-51.479
0,205.0,10001,-47.846
0,205.0,10010,-51.475
0,205.1,10001,-47.841
0,205.1,10010,-51.471
0,205.2,10001,-47.837
0,205.2,10010,-51.467
0,205.3,10001,-47.831
0,205.3,10010,-51.463
0,205.4,10001,-47.826
0,205.4,10010,-51.460
0,205.5,10001,-47.821
0,205.5,10010,-51.456
0,205.6,10001,-47.816
0,205.6,10010,-51.453
0,205.7,10001,-47.812
0,205.7,10010,-51.450
0,205.8,10001,-47.809
0,205.8,10010,-51.447
0,205.9,10001,-47.806
0,205.9,10010,-51.444
0,206.0,10001,-47.804
0,206.0,10010,-51.441
0,206.1,10001,-47.802
0,206.1,10010,-51.439
0,206.2,10001,-47.800
0,206.2,10010,-51.436
0,206.3,10001,-47.799
0,206.3,10010,-51.434
0,206.4,10001,-47.799
0,206.4,10010,-51.431
0,206.5,10001,-47.799
0,206.5,10010,-51.429
0,206.6,10001,-47.799
0,206.6,10010,-51.427
0,206.7,10001,-47.799
0,206.7,10010,-51.425
0,206.8,10001,-47.787
0,206.8,10010,-51.423
0,206.9,10001,-47.776
0,206.9,10010,-51.422
0,207.0,10001,-47.765
0,207.0,10010,-51.420
0,207.1,10001,-47.755
0,207.1,10010,-51.419
0,207.2,10001,-47.746
0,207.2,10010,-51.417
0,207.3,10001,-47.737
0,207.3,10010,-51.416
0,207.4,10001,-47.729
0,207.4,10010,-51.414
0,207.5,10001,-47.721
0,207.5,10010,-51.413
0,207.6,10001,-47.714
0,207.6,10010,-51.412
0,207.7,10001,-47.708
0,207.7,10010,-51.411
0,207.8,10001,-47.702
0,207.8,10010,-51.410
0,207.9,10001,-47.697
0,207.9,10010,-51.409
0,208.0,10001,-47.692
0,208.0,10010,-51.409
0,208.1,10001,-47.688
0,208.1,10010,-51.408
0,208.2,10001,-47.685
0,208.2,10010,-51.407
0,208.3,10001,-47.682
0,208.3,10010,-51.407
0,208.4,10001,-47.679
0,208.4,10010,-51.406
0,208.5,10001,-47.677
0,208.5,10010,-51.406
0,208.6,10001,-47.676
0,208.6,10010,-51.406
0,208.7,10001,-47.675
0,208.7,10010,-51.405
0,208.8,10001,-47.674
0,208.8,10010,-51.405
0,208.9,10001,-47.674
0,208.9,10010,-51.405
0,209.0,10001,-47.674
0,209.0,10010,-51.405
0,209.1,10001,-47.675
0,209.1,10010,-51.405
0,209.2,10001,-47.676
0,209.2,10010,-51.405
0,209.3,10001,-47.677
0,209.3,10010,-51.405
0,209.4,10001,-47.679
0,209.4,10010,-51.405
0,209.5,10001,-47.681
0,209.5,10010,-51.406
0,209.6,10001,-47.684
0,209.6,10010,-51.404
0,209.7,10001,-47.687
0,209.7,10010,-51.403
0,209.8,10001,-47.690
0,209.8,10010,-51.401
0,209.9,10001,-47.694
0,209.9,10010,-51.400
0,210.0,10001,-47.698
0,210.0,10010,-51.399
0,210.1,10001,-47.702
0,210.1,10010,-51.398
0,210.2,10001,-47.707
0,210.2,10010,-51.397
0,210.3,10001,-47.712
0,210.3,10010,-51.396
0,210.4,10001,-47.717
0,210.4,10010,-51.396
0,210.5,10001,-47.723
0,210.5,10010,-51.395
0,210.6,10001,-47.728
0,210.6,10010,-51.394
0,210.7,10001,-47.735
0,210.7,10010,-51.394
0,210.8,10001,-47.741
0,210.8,10010,-51.393
0,210.9,10001,-47.748
0,210.9,10010,-51.393
0,211.0,10001,-47.754
0,211.0,10010,-51.392
0,211.1,10001,-47.762
0,211.1,10010,-51.392
0,211.2,10001,-47.769
0,211.2,10010,-51.392
0,211.3,10001,-47.777
0,211.3,10010,-51.392
0,211.4,10001,-47.784
0,211.4,10010,-51.392
0,211.5,10001,-47.793
0,211.5,10010,-51.392
0,211.6,10001,-47.801
0,211.6,10010,-51.392
0,211.7,10001,-47.809
0,211.7,10010,-51.392
0,211.8,10001,-47.818
0,211.8,10010,-51.392
0,211.9,10001,-47.827
0,211.9,10010,-51.392
0,212.0,10001,-47.836
0,212.0,10010,-51.393
0,212.1,10001,-47.845
0,212.1,10010,-51.393
0,212.2,10001,-47.855
0,212.2,10010,-51.393
0,212.3,10001,-47.864
0,212.3,10010,-51.394
0,212.4,10001,-47.874
0,212.4,10010,-51.394
0,212.5,10001,-47.884
0,212.5,10010,-51.395
0,212.6,10001,-47.881
0,212.6,10010,-51.395
0,212.7,10001,-47.879
0,212.7,10010,-51.396
0,212.8,10001,-47.876
0,212.8,10010,-51.397
0,212.9,10001,-47.860
0,212.9,10010,-51.397
